@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
167,0,1,123,701,0.149272,0,0,0,1,0,0.149091,?,0.072209
168,0,1,119,705,0.144417,0,0,0,1,0,0.144242,?,0.072373
169,0,1,102,722,0.123786,0,0,0,1,0,0.123636,?,0.072477
170,0,1,101,723,0.122573,0,0,0,1,0,0.122424,?,0.101787
171,0,1,100,724,0.121359,0,0,0,1,0,0.121212,?,0.109385
172,0,1,99,725,0.120146,0,0,0,1,0,0.12,?,0.117269
173,0,1,98,726,0.118932,0,0,0,1,0,0.118788,?,0.139372
174,0,1,80,744,0.097087,0,0,0,1,0,0.09697,?,0.159159
175,0,1,78,746,0.09466,0,0,0,1,0,0.094545,?,0.161457
176,0,1,75,749,0.091019,0,0,0,1,0,0.090909,?,0.161787
177,0,1,62,762,0.075243,0,0,0,1,0,0.075152,?,0.302923
178,0,1,61,763,0.074029,0,0,0,1,0,0.073939,?,0.304454
179,0,1,60,764,0.072816,0,0,0,1,0,0.072727,?,0.522279
180,0,1,59,765,0.071602,0,0,0,1,0,0.071515,?,0.522855
181,0,1,58,766,0.070388,0,0,0,1,0,0.070303,?,0.524715
182,0,1,57,767,0.069175,0,0,0,1,0,0.069091,?,0.558591
183,0,1,47,777,0.057039,0,0,0,1,0,0.05697,?,0.560994
184,0,1,43,781,0.052184,0,0,0,1,0,0.052121,?,0.560994
185,0,1,42,782,0.050971,0,0,0,1,0,0.050909,?,0.562794
186,0,1,37,787,0.044903,0,0,0,1,0,0.044848,?,0.563994
187,0,1,35,789,0.042476,0,0,0,1,0,0.042424,?,0.564593
188,0,1,34,790,0.041262,0,0,0,1,0,0.041212,?,0.565192
189,0,1,31,793,0.037621,0,0,0,1,0,0.037576,?,0.565791
190,0,1,25,799,0.03034,0,0,0,1,0,0.030303,?,0.585371
191,0,1,24,800,0.029126,0,0,0,1,0,0.029091,?,0.595031
192,0,1,23,801,0.027913,0,0,0,1,0,0.027879,?,0.622667
193,0,1,22,802,0.026699,0,0,0,1,0,0.026667,?,0.634714
194,0,1,21,803,0.025485,0,0,0,1,0,0.025455,?,0.644199
195,0,1,20,804,0.024272,0,0,0,1,0,0.024242,?,0.648101
196,0,1,19,805,0.023058,0,0,0,1,0,0.02303,?,0.648657
197,0,1,15,809,0.018204,0,0,0,1,0,0.018182,?,0.667387
198,0,1,14,810,0.01699,0,0,0,1,0,0.01697,?,0.669548
199,0,1,13,811,0.015777,0,0,0,1,0,0.015758,?,0.671164
200,0,1,12,812,0.014563,0,0,0,1,0,0.014545,?,0.696686
201,0,1,11,813,0.01335,0,0,0,1,0,0.013333,?,0.706662
202,0,1,10,814,0.012136,0,0,0,1,0,0.012121,?,0.709182
203,0,1,9,815,0.010922,0,0,0,1,0,0.010909,?,0.716883
204,0,1,8,816,0.009709,0,0,0,1,0,0.009697,?,0.719519
205,0,1,7,817,0.008495,0,0,0,1,0,0.008485,?,0.72295
206,0,1,6,818,0.007282,0,0,0,1,0,0.007273,?,0.770507
207,0,1,5,819,0.006068,0,0,0,1,0,0.006061,?,0.771798
208,0,1,4,820,0.004854,0,0,0,1,0,0.004848,?,0.808866
209,0,1,3,821,0.003641,0,0,0,1,0,0.003636,?,0.809994
210,0,1,2,822,0.002427,0,0,0,1,0,0.002424,?,0.818751
211,0,1,1,823,0.001214,0,0,0,1,0,0.001212,?,0.819834
212,0,1,0,824,0,0,0,0,0,0,0,?,0.819844
